predictor,kind,precision,recall,f1,n_flags,threshold
MS,product (as shipped),0.122,0.465,0.193,7878,
IMPACT,product (as shipped),0.104,0.542,0.174,10787,
OSU,product (as shipped),0.068,0.851,0.126,25882,
UH,product (as shipped),0.124,0.327,0.18,5443,
LIST,product (as shipped),0.086,0.659,0.151,15906,
UNEP,product (as shipped),0.117,0.317,0.171,5605,
geography null (logistic),our score @ its best single cut,0.089,0.672,0.157,15613,0.6136
geography null (rand. forest),our score @ its best single cut,0.086,0.539,0.149,12896,0.2482
flat k-of-6 voting,our score @ its best single cut,0.268,0.406,0.323,3123,4.0
weighted fusion,our score @ its best single cut,0.36,0.349,0.354,2000,0.8994
