predictor,kind,precision,recall,f1,n_flags,threshold
MS,product (as shipped),0.175,0.371,0.238,7878,
IMPACT,product (as shipped),0.179,0.518,0.266,10787,
OSU,product (as shipped),0.118,0.821,0.207,25882,
UH,product (as shipped),0.18,0.263,0.214,5443,
LIST,product (as shipped),0.149,0.637,0.242,15906,
UNEP,product (as shipped),0.171,0.257,0.205,5605,
geography null (logistic),our score @ its best single cut,0.156,0.693,0.255,16511,0.6048
geography null (rand. forest),our score @ its best single cut,0.169,0.45,0.246,9901,0.4345
flat k-of-6 voting,our score @ its best single cut,0.385,0.322,0.351,3123,4.0
weighted fusion,our score @ its best single cut,0.352,0.432,0.388,4571,0.7992
